YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2016-07,Somalia,273,1207,1191,16,665,0,158,118,214,60,115,12286,364,0,155,117,204,59,92,0,3,1,10,1,4,19
2016-08,Somalia,273,1304,1274,30,537,0,149,109,147,36,96,13259,385,0,148,109,142,35,83,0,1,0,5,1,3,10
2016-09,Somalia,273,1266,1249,17,581,3,155,85,186,34,118,14112,392,3,153,85,157,32,101,0,2,0,29,2,7,10
2016-10,Somalia,273,930,910,20,540,0,123,77,180,28,132,14608,417,0,121,77,121,27,119,0,2,0,59,1,5,8
2016-11,Somalia,273,803,773,30,1222,0,360,189,333,102,238,14256,455,0,359,189,253,101,215,0,1,0,80,1,6,17
2016-12,Somalia,273,658,627,31,1618,2,458,243,409,174,332,13314,495,2,448,241,346,170,304,0,10,2,63,4,11,17
2017-01,Somalia,273,617,584,33,1894,3,508,402,327,228,426,12118,503,3,508,402,315,225,395,0,0,0,12,3,11,20
2017-02,Somalia,273,585,550,35,2201,1,538,526,317,255,564,10705,502,1,535,524,306,254,518,0,3,2,11,1,16,30
2017-03,Somalia,273,629,595,34,2381,0,656,593,247,294,591,9194,446,0,647,587,218,291,524,0,9,6,29,3,21,46
2017-04,Somalia,273,459,431,28,2038,0,587,577,232,263,379,7729,424,0,578,573,202,257,328,0,9,4,30,6,17,34
2017-05,Somalia,273,574,539,35,2310,1,638,668,233,298,472,6163,377,1,622,655,213,293,403,0,16,13,20,5,29,40
2017-06,Somalia,273,494,466,28,1252,1,310,291,153,177,320,5479,372,1,307,285,140,172,284,0,3,6,13,5,15,21
2017-07,Somalia,273,634,584,50,1482,1,313,346,135,193,494,4759,354,1,311,332,111,187,419,0,2,14,24,6,18,57
2017-08,Somalia,273,729,673,56,1332,2,307,225,163,174,461,4288,362,2,301,219,141,172,388,0,6,6,22,2,14,59
2017-09,Somalia,273,532,479,53,1089,2,236,180,86,120,465,3891,347,2,231,175,77,112,352,0,5,5,9,8,14,99
2017-10,Somalia,273,515,475,40,1060,4,260,161,92,121,422,3528,314,4,250,161,64,115,331,0,10,0,28,6,18,73
2017-11,Somalia,273,638,561,77,1166,3,292,221,91,109,450,3136,300,3,281,218,62,99,360,0,11,3,29,10,25,65
2017-12,Somalia,273,471,439,32,921,2,222,138,88,124,347,2886,252,2,208,135,68,115,267,0,14,3,20,9,22,58
2018-01,Somalia,273,535,471,64,1104,1,234,191,131,169,378,2485,235,1,229,188,96,162,300,0,5,3,35,7,33,45
2018-02,Somalia,273,427,374,53,875,4,201,140,57,149,324,2327,227,4,196,139,39,146,249,0,5,1,18,3,29,46
2018-03,Somalia,273,457,404,53,905,5,192,124,83,164,337,2193,215,5,185,122,53,149,264,0,7,2,30,15,16,57
2018-04,Somalia,273,480,415,65,857,2,205,106,65,166,313,2068,225,2,198,105,48,161,244,0,7,1,17,5,22,47
2018-05,Somalia,273,454,410,44,700,1,131,27,53,180,308,1987,210,1,123,27,46,176,230,0,8,0,7,4,34,44
2018-06,Somalia,273,417,376,41,554,0,86,20,31,137,280,2015,193,0,83,20,23,133,215,0,3,0,8,4,16,49
2018-07,Somalia,273,463,409,54,523,1,89,21,37,132,243,2111,201,1,88,18,25,123,185,0,1,3,12,9,26,32
2018-08,Somalia,273,456,412,44,601,3,144,31,57,137,229,2129,187,3,141,31,44,135,173,0,3,0,13,2,25,31
2018-09,Somalia,273,342,301,41,552,1,130,32,37,131,221,2051,180,1,126,32,29,129,151,0,4,0,8,2,27,43
2018-10,Somalia,273,401,359,42,635,7,155,27,42,143,261,1990,180,7,148,27,29,138,186,0,7,0,13,5,26,49
2018-11,Somalia,273,336,296,40,667,1,184,43,32,144,263,1796,173,1,179,42,25,140,203,0,5,1,7,4,18,42
2018-12,Somalia,273,228,190,38,427,2,134,27,30,96,138,1704,166,2,122,27,22,93,99,0,12,0,8,3,12,27
2019-01,Somalia,273,366,323,43,547,4,179,32,29,108,195,1679,157,4,173,32,17,104,114,0,6,0,12,4,23,58
2019-02,Somalia,273,305,266,39,584,3,153,37,33,136,222,1571,147,3,149,33,21,134,160,0,4,4,12,2,17,45
2019-03,Somalia,273,288,234,54,535,4,155,26,31,132,187,1455,152,1,151,26,22,127,129,3,4,0,9,5,18,40
2019-04,Somalia,273,292,246,46,391,3,125,29,21,64,149,1440,164,3,123,29,13,63,103,0,2,0,8,1,16,30
