YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2018-06,Russische Foederation,160,391,279,112,613,39,5,9,5,240,315,865,316,39,3,6,2,212,214,0,2,3,3,28,48,53
2018-07,Russische Foederation,160,437,350,87,553,25,6,10,6,202,304,937,275,25,5,5,5,191,150,0,1,5,1,11,74,80
2018-08,Russische Foederation,160,552,401,151,594,34,8,2,13,241,296,1000,322,34,3,0,6,215,203,0,5,2,7,26,48,45
2018-09,Russische Foederation,160,477,392,85,543,41,19,13,4,257,209,1086,320,41,12,8,3,235,118,0,7,5,1,22,50,41
2018-10,Russische Foederation,160,395,302,93,667,29,8,4,12,341,273,974,323,29,6,4,9,325,156,0,2,0,3,16,48,69
2018-11,Russische Foederation,160,377,282,95,580,38,2,11,5,279,245,963,315,38,1,7,5,261,131,0,1,4,0,18,60,54
2018-12,Russische Foederation,160,325,227,98,464,20,7,10,8,229,190,952,325,20,7,10,5,212,100,0,0,0,3,17,47,43
2019-01,Russische Foederation,160,441,336,105,627,13,26,9,0,281,298,942,302,13,26,6,0,259,174,0,0,3,0,22,62,62
2019-02,Russische Foederation,160,320,230,90,567,10,9,14,1,241,292,863,263,10,8,14,1,221,147,0,1,0,0,20,87,58
2019-03,Russische Foederation,160,350,261,89,618,7,11,3,5,257,335,807,222,7,9,3,4,237,187,0,2,0,1,20,78,70
2019-04,Russische Foederation,160,351,239,112,449,0,12,2,2,211,222,773,261,0,6,2,1,204,141,0,6,0,1,7,50,31
2019-05,Russische Foederation,160,323,216,107,493,2,16,8,3,207,257,762,233,2,10,4,3,181,114,0,6,4,0,26,80,63
2019-06,Russische Foederation,160,366,237,129,376,17,10,8,1,147,193,781,276,17,10,2,0,135,107,0,0,6,1,12,48,38
2019-07,Russische Foederation,160,344,231,113,468,5,18,6,7,158,274,756,266,5,10,3,2,138,168,0,8,3,5,20,79,27
2019-08,Russische Foederation,160,351,271,80,487,13,15,12,1,205,241,772,241,13,13,10,1,186,120,0,2,2,0,19,36,85
2019-09,Russische Foederation,160,454,302,152,430,7,7,4,6,148,258,853,255,7,5,3,3,127,115,0,2,1,3,21,76,67
2019-10,Russische Foederation,160,394,303,91,482,7,16,6,0,169,284,856,236,7,4,1,0,147,183,0,12,5,0,22,88,13
2019-11,Russische Foederation,160,330,216,114,459,16,7,3,6,162,265,786,256,16,5,3,0,145,152,0,2,0,6,17,55,58
